2018-03-03 14:24:13	Rechts	31
2018-03-04 17:57:19	mitte	27
2018-03-06 10:55:01	Links	25
2018-03-06 18:10:00	Rechts	44
2018-03-08 12:25:17	mitte	38
2018-03-09 18:42:14	Spieler	41
2018-03-10 17:42:07	Links	41
2018-03-13 14:45:40	Rechts	29
2018-03-13 15:03:10	Spieler	27
2018-03-14 18:26:01	Links	37
2018-03-14 18:45:00	Links	36
2018-03-18 17:59:10	mitte	24
2018-06-13 14:33:24	Spieler	26
2018-06-13 17:01:44	Spieler	22
2018-06-14 11:01:37	Spieler	30
2018-06-22 15:18:04	Rechts	46
2018-06-23 12:10:09	Links	45
2020-07-28 17:58:55	Spieler	23
